codigo,produto,consumo_2023,consumo_2024
190003,SUBCONJUNO SEDE,16.0,5.0
190004,CONTRA SEDE,13.0,5.0
190008,MANÔMETRO GRANDE,2.0,1.0
190009,RALO SEMI ESFÉRICO 6 FERRO FUNDIDO,0.0,1.0
190011,RALO INOX 15 X 15 CM,4.0,23.0
190012,TAMPA RALO INOX 15 X 15,0.0,1.0
190014,RALO PARA PIA,3.0,0.0
190026,ASSENTO POLIESTER VASO SANITÁRIO,0.0,2.0
190036,CONJUNTO DE FIXAÇÃO P/ ASSENTOS,11.0,9.0
190039,RALO FERRO 150MM,0.0,1.0
190040,ACABAMENTO PARA REGISTRO,0.0,10.0
190042,CANOPLA,8.0,18.0
190043,FILTRO PURIFICADOR DE ÁGUA,2.0,0.0
190044,"BOIA PARA CX D'ÁGUA 2""",2.0,1.0
190045,"CHAVE DE BÓIA 1,2 M",8.0,23.0
190048,"TORNEIRA DE BÓIA 2"" DN 50",2.0,1.0
190055,ASPERSOR DE IRRIGAÇÃO,1.0,2.0
190058,"MANÔMETRO RETO 0-21 KGF/CM2 - 300PSI ROSCA MACHO 1/4"" INOX",6.0,0.0
190059,"DIAFRAGMA REFORÇADO P/ VÁLVULA S-400 3""",12.0,0.0
190061,"DIAFRAGMA REFORÇADO P/ VÁLVULA S-400 2"" (SEM DISCO)",3.0,0.0
190063,CONJUNTO DO DIAFRAGMA P/ MINI PILOTO METÁLICO (PC-30-A-M),3.0,0.0
190064,CONJUNTO DO DIAFRAGMA P/ PILOTO METÁLICO REDUTOR PC-20,14.0,0.0
190068,"BOMBA D'ÁGUA CENTRÍFUGA VERTICAL 7,5 CV",2.0,0.0
190069,BOMBA D'ÁGUA CENTRÍFUGA VERTICAL 4 CV,1.0,0.0
190076,"CHAVE DE FLUXO P/LÍQUIDOS LAM1"" A 8"" SPDT R1"" AT2011",2.0,0.0
190077,"DIAFRAGMA REFORÇADO P/ VÁLVULA S-400 3""",0.0,1.0
190078,"DIAFRAGMA REFORÇADO P/ VÁLVULA S-400 2"" (SEM DISCO)",1.0,0.0
190079,CONJUNTO DO DIAFRAGMA P/ MINI PILOTO METÁLICO (PC-30-A-M),1.0,0.0
190081,BOMBA ESGOTO SUBMERSA SCHNEIDER 3CV,2.0,0.0
190105,VASOTECH ADPRO DESINFETANTE USO GERAL 5L,2.0,0.0
190106,"REDUTOR DE VAZÃO FURO 4,0MM BLUKIT",200.0,0.0
190111,ASPERSOR DE IRRIGAÇÃO RAIN BIRD 1800,0.0,1.0
190113,TORNEIRA COPO GIRATÓRIA BDF,0.0,16.0
210004,ROLO PINTURA LÃ 9 MM X 23 CM,7.0,2.0
210005,ROLO PINTURA LÃ 22 MM X 23 CM,0.0,2.0
210015,"LATA TINTA BRANCO ACETINADO 3,6L",1.0,1.0
210016,LATA TINTA 18 L BRANCO FOSCO NEVE,1.0,1.0
210021,BALDE DE SELADOR,1.0,0.0
210024,LATA TINTA 18 L BRANCO,1.0,3.0
